,17214945,17277746,17284901,17291058,17060678
parcelid,17214945,17277746,17284901,17291058,17060678
airconditioningtypeid,,,,,
architecturalstyletypeid,,,,,
basementsqft,296,182,2322,8516,1146
bathroomcnt,2.5,3.5,1.5,9.5,6.5
bedroomcnt,3,4,6,6,4
buildingclasstypeid,,,,,
buildingqualitytypeid,,,,,
calculatedbathnbr,2.5,3.5,1.5,9.5,6.5
decktypeid,66,66,66,66,66
finishedfloor1squarefeet,2878,1461,10245,10598,4396
calculatedfinishedsquarefeet,4374,2380,13513,18117,7051
finishedsquarefeet12,4374,2380,13513,18117,7051
finishedsquarefeet13,,,,,
finishedsquarefeet15,,,,,
finishedsquarefeet50,2878,1461,10245,20618,4396
finishedsquarefeet6,,,,,
fips,6111,6111,6111,6111,6111
fireplacecnt,1,1,5,9,9
fullbathcnt,2,3,1,9,6
garagecarcnt,2,2,9,13,2
garagetotalsqft,484,452,2697,4000,623
hashottuborspa,,,,,
heatingorsystemtypeid,,,,,
latitude,34.241795,34.172331,34.18061,34.1994,34.409445
longitude,-118.927823,-118.905951,-118.808544,-118.8241,-119.292877
lotsizesquarefeet,55757,10710,187308,709157,172063
poolcnt,1,1,1,1,1
poolsizesum,450,352,3200,3600,600
pooltypeid10,,,,,
pooltypeid2,,,,,
pooltypeid7,1,1,1,1,1
propertycountylandusecode,1110,1110,1110,1110,1110
propertylandusetypeid,261,261,261,261,261
propertyzoningdesc,,,,,
rawcensustractandblock,61110053.051050 ,61110059.112007 ,61110074.022009 ,61110074.021000 ,61110011.022001 
regionidcity,51239,34278,34278,34278,40110
regionidcounty,2061,2061,2061,2061,2061
regionidneighborhood,,46736,,,
regionidzip,97091,96351,96385,96385,97098
roomcnt,9,8,19,21,10
storytypeid,7,7,7,7,7
threequarterbathnbr,1,1,1,1,1
typeconstructiontypeid,,,,,
unitcnt,,,,,
yardbuildingsqft17,644,425,4025,2557,1020
yardbuildingsqft26,150,,135,2015,242
yearbuilt,1983,1981,1991,1992,1996
numberofstories,2,2,3,2,2
fireplaceflag,,,,,
structuretaxvaluedollarcnt,301000,251105,4414035,12761840,1777057
taxvaluedollarcnt,1007000,413715,7030951,26475460,2241527
assessmentyear,2015,2015,2015,2015,2015
landtaxvaluedollarcnt,706000,162610,2616916,13713620,464470
taxamount,10861.94,4349.2,74370.04,278102.92,24232.74
taxdelinquencyflag,,,,,
taxdelinquencyyear,,,,,
censustractandblock,61110053051050 ,61110059112007 ,61110074022009 ,61110074021002 ,61110011022001 
