MAE_avg,MAE_stddev,n_iter,learning_rate,depth,l2_leaf_reg
0.0568216,0.0004371,1717,0.019281,5,4
0.0568331,0.0004557,1186,0.017289,6,7
0.0568402,0.0004416,1215,0.017868,6,7
0.0568431,0.0004423,1069,0.019414,5,7
0.056845,0.0004339,961,0.021145,6,8
0.0568452,0.0004381,1183,0.016247,6,5
0.0568524,0.0004371,886,0.016978,7,7
0.0568583,0.0004552,821,0.028395,5,8
0.0568674,0.0004631,753,0.028152,5,8
0.0568697,0.0004566,734,0.026577,5,7
0.0568751,0.0004564,815,0.022108,6,7
0.0568831,0.0004496,903,0.02058,6,1
0.0568869,0.0004245,666,0.027072,6,6
0.0568948,0.0004355,760,0.021909,7,7
0.0568982,0.0004467,668,0.033016,5,3
0.0569001,0.0004355,699,0.029192,6,6
0.0569004,0.0004568,801,0.030672,5,3
0.0569006,0.0004398,594,0.035487,5,5
0.056902,0.0004516,576,0.035885,5,5
0.0569023,0.0004382,605,0.034851,6,9
0.0569046,0.0004583,704,0.029996,5,1
0.0569051,0.0004553,678,0.025463,6,4
0.0569061,0.000451,629,0.030702,5,4
0.0569115,0.0004618,617,0.03,6,3
0.0569123,0.0004548,513,0.032425,6,9
0.0569141,0.0004372,635,0.03507,5,1
0.0569152,0.0004443,476,0.030979,6,6
0.0569171,0.0004371,552,0.039112,5,1
0.0569225,0.0004574,522,0.043307,5,9
0.0569264,0.000445,396,0.02676,7,7
0.0569276,0.0004368,541,0.030119,7,6
0.0569303,0.0004586,451,0.042288,5,6
0.0569306,0.0004968,514,0.031722,7,7
0.0569355,0.000465,518,0.040709,5,8
0.0569358,0.0004504,468,0.030034,7,9
0.056936,0.0004156,527,0.035018,6,4
0.0569407,0.0004152,426,0.038903,6,8
0.0569417,0.0004447,391,0.04263,6,6
0.056943,0.0004455,421,0.031417,6,4
0.0569465,0.0004335,370,0.031243,7,1
0.0569583,0.0004573,427,0.042274,6,8
0.0569608,0.0004553,403,0.042886,6,1
0.0569618,0.0004359,284,0.038346,7,5
0.0569727,0.0004419,222,0.038247,7,3
0.056975,0.0004623,271,0.035248,7,2
0.0569758,0.0004663,344,0.031328,7,1
0.0569765,0.0004432,271,0.034709,7,1
0.056977,0.0004876,221,0.038807,6,3
0.0569788,0.000462,301,0.043351,6,3
0.0569799,0.0004574,427,0.038575,6,1
