class,feature,split
1,year_built,5621
1,area_lot,5605
1,latitude,5288
1,dollar_taxvalue_structure,5087
1,longitude,5028
1,dollar_tax,4931
1,area_living_type_12,4478
1,dollar_taxvalue_land,4450
1,area_living_finished_calc,3766
1,dollar_taxvalue_total,3535
2,area_garage,1579
4,area_living_type_15,1380
1,num_bedroom,952
2,rank_building_quality,807
1,type_landuse,617
2,area_pool,617
2,num_bathroom_assessor,596
1,num_bathroom_zillow,549
1,type_heating_system,461
4,area_firstfloor_zillow,310
1,num_fullbath,275
4,area_firstfloor_assessor,264
2,num_unit,258
2,type_air_conditioning,241
2,num_story,239
1,type_pool,222
1,flag_tax_delinquency,219
2,num_room,217
1,flag_spa_zillow,215
2,num_garage,212
4,area_yard_patio,184
2,num_fireplace,156
4,year_tax_due,116
1,code_fips,25
